Código,Tipo de institución,Nombre de institución,Acreditación institución (al 31 de octubre 2025),Área,Nombre carrera genérica,Nombre carrera (del título),% titulados con continuidad de estudios,Retención 1er año,Duración Real (semestres),Empleabilidad 1er año,Empleabilidad 2° año,Ingreso Promedio al 4° año
629,Centros de Formación Técnica,CFT PUCV,5 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico de Nivel Superior en Educación Parvularia,0.09461077844311377,0.8459595959595959,5.383620689655173,0.24947589098532494,0.3969298245614035,De $600 mil a $700 mil
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico de Párvulos y Básica,0.031023784901758014,0.75,5.745033112582781,0.2195945945945946,0.3333333333333333,De $600 mil a $700 mil
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación Parvularia,0.07457846952010376,0.7898883782009193,6.359920239282153,0.2798900595510765,0.3613636363636364,De $600 mil a $700 mil
633,Centros de Formación Técnica,CFT TEODORO WICKEL KLUWEN,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico de Nivel Superior en Educación Parvularia,0.041379310344827586,0.7083333333333334,5.000000000000002,0.22058823529411764,0.23232323232323232,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Educación,Técnico Asistente del Educador Diferencial,Técnico en Educación Especial,0.14214463840399003,0.5911949685534591,6.657534246575344,0.34397163120567376,0.5211267605633803,De $600 mil a $700 mil
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Educación,Técnico Asistente del Educador Diferencial,Técnico de Nivel Superior en Educación Especial,0.26639344262295084,0.6666666666666666,5.766666666666668,0.2549019607843137,0.32098765432098764,s/i
914,Centros de Formación Técnica,CFT DE LA REGION DEL MAULE,No,Educación,Técnico Asistente del Educador Diferencial,Técnico de Nivel Superior en Educación Diferencial e Inclusiva,0.07692307692307693,0.8709677419354839,s/i,0.40625,,s/i
280,Centros de Formación Técnica,CFT LOS LAGOS,No,Educación,Técnico Asistente del Educador Diferencial,Técnico en Educación Diferencial,0.21818181818181817,s/i,s/i,0.3181818181818182,0.3644067796610169,De $600 mil a $700 mil
450,Centros de Formación Técnica,CFT LOTA-ARAUCO,4 años,Educación,Técnico Asistente del Educador Diferencial,Técnico en Educación Diferencial,0.09444444444444444,0.5504587155963303,5.749999999999999,0.16666666666666666,,s/i
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Educación,Técnico Asistente del Educador Diferencial,Técnico en Educación Especial,0.18555555555555556,0.8255234297108675,6.44801026957638,0.2857142857142857,0.4028185554903112,De $600 mil a $700 mil
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Salud,Técnico Dental y Asistente de Odontología,Técnico en Odontología,0.03745318352059925,0.6635514018691588,6.423529411764706,0.6919191919191919,0.6839080459770115,De $700 mil a $800 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Salud,Técnico Dental y Asistente de Odontología,Técnico en Odontología,0.036753445635528334,0.7348242811501597,5.7405405405405405,0.6023856858846919,0.6171171171171171,De $700 mil a $800 mil
629,Centros de Formación Técnica,CFT PUCV,5 años,Salud,Técnico Dental y Asistente de Odontología,Técnico de Nivel Superior en Odontología,0.06578947368421052,0.8913043478260869,5.275862068965517,0.39622641509433965,,s/i
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Salud,Técnico Dental y Asistente de Odontología,Técnico en Odontología,0.019157088122605363,0.696969696969697,6.112244897959184,0.3422459893048128,0.4026548672566372,De $600 mil a $700 mil
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Salud,Técnico Dental y Asistente de Odontología,Técnico en Odontología,0.05152027027027027,0.8210922787193974,6.338501291989665,0.5037593984962406,0.5955678670360111,De $700 mil a $800 mil
633,Centros de Formación Técnica,CFT TEODORO WICKEL KLUWEN,No,Salud,Técnico Dental y Asistente de Odontología,Técnico de Nivel Superior en Odontología,0.06578947368421052,s/i,6,0.3584905660377358,,s/i
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Agropecuaria,Técnico en Acuicultura y Pesca,Técnico en Producción Acuícola,0.04375,0.7959183673469388,6.584615384615384,0.8103448275862069,0.8518518518518519,De $1 millón 300 mil a $1 millón 400 mil
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración de Empresas,0.3082706766917293,0.7027027027027027,6.433962264150942,0.3055555555555556,0.5,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración de Empresas,0.5263157894736842,0.5285714285714286,s/i,0.4107142857142857,0.5614035087719298,s/i
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Administración y Comercio,Técnico en Administración de Empresas,Técnico de Nivel Superior en Administración de Empresas,0.4782608695652174,0.6567164179104478,5.94,0.4909090909090909,,s/i
906,Centros de Formación Técnica,CFT DE LA REGION DE TARAPACA,No,Administración y Comercio,Técnico en Administración de Empresas,Técnico de Nivel Superior en Administración de Empresas,0.6906474820143885,0.6808510638297872,6.708333333333333,0.7755102040816326,,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración de Empresas,0.33590441621294614,0.673558648111332,6.732167832167832,0.5836900202748366,0.650261531145982,De $1 millón a $1 millón 100 mil
450,Centros de Formación Técnica,CFT LOTA-ARAUCO,4 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración de Empresas,0.2248062015503876,0.6111111111111112,5.766666666666665,0.5263157894736842,0.47540983606557374,De $900 mil a $1 millón
701,Centros de Formación Técnica,CFT MANPOWER,3 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración de Empresas,0.1415929203539823,0.3302752293577982,7.064516129032257,0.7380952380952381,0.7450980392156863,s/i
629,Centros de Formación Técnica,CFT PUCV,5 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico de Nivel Superior en Administración de Empresas,0.13157894736842105,0.736,5.550387596899226,0.4817073170731707,0.5816993464052288,De $800 mil a $900 mil
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración de Empresas,0.20823244552058112,0.6842105263157895,5.974358974358974,0.460093896713615,0.5404255319148936,De $800 mil a $900 mil
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Administración y Comercio,Técnico en Administración de Empresas,Técnico en Administración,0.590633130962706,0.6934235976789168,5.7764471057884235,0.5026138909634055,0.592326139088729,De $1 millón a $1 millón 100 mil
633,Centros de Formación Técnica,CFT TEODORO WICKEL KLUWEN,No,Administración y Comercio,Técnico en Administración de Empresas,Técnico de Nivel Superior en Administración de Empresas,0.25,0.5344827586206896,5.526315789473673,0.5402298850574713,,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,Técnico en Gestión de Recursos Humanos,0.41700404858299595,0.6333333333333333,6.419354838709676,0.4825174825174825,0.4896551724137931,s/i
426,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,No,Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,Técnico en Administración en Recursos Humanos,0.26865671641791045,s/i,6.875000000000003,0.6746987951807228,0.6770833333333334,De $900 mil a $1 millón
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,Técnico en Administración de Recursos Humanos,0.46364883401920437,0.721030042918455,5.642045454545454,0.6716417910447762,0.7358024691358025,De $1 millón a $1 millón 100 mil
426,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,No,Administración y Comercio,Técnico en Administración en Marketing,Técnico en Marketing y Gestión Comercial,0.19101123595505617,s/i,6.440000000000005,0.7391304347826086,,s/i
426,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,No,Administración y Comercio,Técnico en Administración Financiera y Finanzas,Técnico en Finanzas,0.3469387755102041,s/i,6.717391304347825,0.6956521739130435,0.75,De $1 millón 100 mil a $1 millón 200 mil
629,Centros de Formación Técnica,CFT PUCV,5 años,Ciencias Sociales,Técnico en Administración Pública o Municipal,Técnico de Nivel Superior en Administración Pública,0.15384615384615385,0.625,5.594202898550725,0.6129032258064516,,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Tecnología,Técnico en Alimentos,Técnico en Alimentación y Dietética,0.06741573033707865,0.4418604651162791,s/i,0.5409836065573771,0.6521739130434783,s/i
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Tecnología,Técnico en Alimentos,Técnico en Procesos y Controles de Calidad Alimentaria,0.052980132450331126,0.75,5.888888888888889,0.5222222222222223,0.6341463414634146,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Humanidades,Técnico en Bibliotecas y Centros de Documentación,Técnico en Bibliotecología y Documentación,0.07801418439716312,0.746031746031746,6.137931034482756,0.5285714285714286,0.5409836065573771,s/i
426,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,No,Administración y Comercio,Técnico en Comercio Exterior,Técnico en Administración en Comercio Exterior,0.2072072072072072,s/i,6.470588235294118,0.8181818181818182,0.8484848484848485,De $1 millón 100 mil a $1 millón 200 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Administración y Comercio,Técnico en Comercio Exterior,Técnico en Comercio Exterior,0.29006085192697767,0.7018867924528301,8.15748031496063,0.7131147540983607,0.7035928143712575,De $1 millón a $1 millón 100 mil
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Administración y Comercio,Técnico en Comercio Exterior,Técnico en Comercio Exterior,0.5507246376811594,0.6571428571428571,s/i,0.7142857142857143,0.7567567567567568,s/i
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Tecnología,Técnico en Computación e Informática,Técnico en Computación e Informática,0.1640625,0.7342657342657343,6.000000000000001,0.5647058823529412,0.6,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Tecnología,Técnico en Computación e Informática,Técnico Analista Programador,0.20182787509520184,0.7145479577787976,7.537724550898201,0.6587048832271762,0.7816901408450704,De $1 millón 400 mil a $1 millón 500 mil
450,Centros de Formación Técnica,CFT LOTA-ARAUCO,4 años,Tecnología,Técnico en Computación e Informática,Técnico en Computación e Informática,0.32075471698113206,0.5769230769230769,s/i,0.4230769230769231,0.3333333333333333,s/i
629,Centros de Formación Técnica,CFT PUCV,5 años,Tecnología,Técnico en Computación e Informática,Técnico de Nivel Superior en Computación e Informática,0.11363636363636363,0.7889908256880734,5.23404255319149,0.41304347826086957,0.5952380952380952,s/i
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Tecnología,Técnico en Computación e Informática,Técnico Analista Programador,0.21768707482993196,0.6115107913669064,6.218750000000002,0.5161290322580645,0.5656565656565656,De $900 mil a $1 millón
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Tecnología,Técnico en Construcción y Obras Civiles,Técnico en Construcción,0.17647058823529413,0.5686274509803921,s/i,0.7058823529411765,,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Tecnología,Técnico en Construcción y Obras Civiles,Técnico en Construcción,0.18867924528301888,0.45161290322580644,s/i,0.48717948717948717,,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Tecnología,Técnico en Construcción y Obras Civiles,Técnico en Edificación y Construcción,0.3424242424242424,0.6823899371069182,7.3718861209964395,0.6176772867420349,0.6542857142857142,De $1 millón 100 mil a $1 millón 200 mil
629,Centros de Formación Técnica,CFT PUCV,5 años,Tecnología,Técnico en Construcción y Obras Civiles,Técnico de Nivel Superior en Construcción,0.1111111111111111,0.6857142857142857,5.346534653465347,0.55,0.6086956521739131,De $1 millón a $1 millón 100 mil
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Tecnología,Técnico en Construcción y Obras Civiles,Técnico en Obras Civiles,0.25,0.6363636363636364,6.383838383838384,0.5179856115107914,0.5197368421052632,De $900 mil a $1 millón
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Tecnología,Técnico en Construcción y Obras Civiles,Técnico en Construcciones Civiles,0.4614121510673235,0.6253164556962025,6.301980198019803,0.5538922155688623,0.6111111111111112,De $900 mil a $1 millón
426,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,No,Administración y Comercio,Técnico en Contabilidad General,Técnico en Contabilidad General,0.2627450980392157,s/i,6.791044776119406,0.7821782178217822,0.7288135593220338,De $1 millón a $1 millón 100 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Administración y Comercio,Técnico en Contabilidad General,Técnico en Contabilidad General,0.26164383561643834,0.7185929648241206,7.230240549828179,0.6392405063291139,0.7041156840934372,De $1 millón a $1 millón 100 mil
629,Centros de Formación Técnica,CFT PUCV,5 años,Administración y Comercio,Técnico en Contabilidad General,Técnico de Nivel Superior en Contabilidad General,0.12299465240641712,0.5857142857142857,5.349206349206349,0.5576923076923077,0.5714285714285714,s/i
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Administración y Comercio,Técnico en Contabilidad General,Técnico en Contabilidad General,0.2483221476510067,0.7669172932330827,5.474358974358974,0.5764705882352941,0.6712328767123288,De $900 mil a $1 millón
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Administración y Comercio,Técnico en Contabilidad General,Técnico en Contabilidad General,0.5799180327868853,0.697508896797153,5.125925925925926,0.5367647058823529,0.6532846715328468,De $1 millón a $1 millón 100 mil
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Educación,"Técnico en Deporte, Recreación y Preparación Física",Técnico de Nivel Superior en Deportes y Recreación,0.35036496350364965,s/i,s/i,0.35443037974683544,0.2647058823529412,s/i
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Educación,"Técnico en Deporte, Recreación y Preparación Física",Preparador Físico y Técnico en Deportes,0.13712491277041172,0.7496095783446122,6.600223964165734,0.35626535626535627,0.4278879015721121,De $700 mil a $800 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Arte y Arquitectura,Técnico en Diseño de Vestuario,Técnico en Diseño y Producción de Moda,0.08860759493670886,0.6741573033707865,s/i,0.20833333333333334,,s/i
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Tecnología,Técnico en Electricidad y Electricidad Industrial,"Técnico en Electricidad, Eficiencia Energética y Electrónica Industrial",0.20086393088552915,0.7040498442367601,6.120567375886523,0.758364312267658,0.8146341463414634,De $1 millón 300 mil a $1 millón 400 mil
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Tecnología,Técnico en Electricidad y Electricidad Industrial,Técnico de Nivel Superior en Proyectos Eléctricos de Distribución,0.14655172413793102,0.6829268292682927,6.153846153846154,0.7647058823529411,0.8,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Tecnología,Técnico en Electricidad y Electricidad Industrial,Técnico en Electricidad Industrial,0.24908232826428947,0.7048377219840783,7.199704142011834,0.7387318563789153,0.7599323753169906,De $1 millón 200 mil a $1 millón 300 mil
629,Centros de Formación Técnica,CFT PUCV,5 años,Tecnología,Técnico en Electricidad y Electricidad Industrial,Técnico de Nivel Superior en Electricidad,0.0945945945945946,0.6238532110091743,5.666666666666669,0.8363636363636363,0.8571428571428571,De $1 millón 200 mil a $1 millón 300 mil
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Tecnología,Técnico en Electricidad y Electricidad Industrial,Técnico en Redes Eléctricas,0.10101010101010101,0.6620689655172414,6.428571428571426,0.7352941176470589,0.8481012658227848,De $1 millón a $1 millón 100 mil
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Tecnología,Técnico en Electromecánica,Técnico en Electromecánica,0.12953367875647667,0.53125,6.622222222222222,0.8046875,0.8842105263157894,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Tecnología,Técnico en Electromecánica,Técnico en Electromecánica,0.14177215189873418,s/i,6.67,0.7574750830564784,0.828,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Tecnología,Técnico en Electrónica y Electrónica Industrial,Técnico en Electrónica y Electrónica Industrial,0.26878612716763006,0.6162790697674418,6.721311475409837,0.6976744186046512,0.7689243027888446,De $1 millón 100 mil a $1 millón 200 mil
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Salud,Técnico en Enfermería,Técnico en Enfermería y Telemedicina,0.05058365758754864,0.6858974358974359,5.752212389380528,0.6081871345029239,0.6589147286821705,De $700 mil a $800 mil
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Salud,Técnico en Enfermería,Técnico en Enfermería  ,0.03166421207658321,0.5584415584415584,5.598915989159891,0.6873184898354308,0.7383444338725024,De $900 mil a $1 millón
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Salud,Técnico en Enfermería,Técnico de Nivel Superior en Enfermería,0.04854368932038835,0.7272727272727273,5.1969696969696955,0.49122807017543857,,s/i
911,Centros de Formación Técnica,CFT DE LA REGION DE VALPARAISO,No,Salud,Técnico en Enfermería,Técnico de Nivel Superior en Enfermería,0.03932584269662921,0.6776859504132231,6.31034482758621,0.5961538461538461,0.6153846153846154,s/i
536,Centros de Formación Técnica,CFT DE TARAPACA,No,Salud,Técnico en Enfermería,Técnico de Nivel Superior en Enfermería,0.022727272727272728,s/i,s/i,0.42105263157894735,0.49206349206349204,De $800 mil a $900 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Salud,Técnico en Enfermería,Técnico en Enfermería,0.042272727272727274,0.75736568457539,5.784482758620691,0.6306517909571344,0.7051013277428372,De $800 mil a $900 mil
214,Centros de Formación Técnica,CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,No,Salud,Técnico en Enfermería,Técnico en Enfermería,0.3333333333333333,s/i,s/i,0.7627118644067796,,s/i
280,Centros de Formación Técnica,CFT LOS LAGOS,No,Salud,Técnico en Enfermería,Técnico en Enfermería,0.08695652173913043,s/i,s/i,0.7272727272727273,0.7461538461538462,De $800 mil a $900 mil
319,Centros de Formación Técnica,CFT PRODATA,No,Salud,Técnico en Enfermería,Técnico en Enfermería,0.054474708171206226,0.7835820895522388,4.69230769230769,0.7230769230769231,0.7361111111111112,s/i
629,Centros de Formación Técnica,CFT PUCV,5 años,Salud,Técnico en Enfermería,Técnico de Nivel Superior en Enfermería,0.02336448598130841,0.7877984084880637,5.887931034482759,0.6044303797468354,0.6621004566210046,De $800 mil a $900 mil
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Salud,Técnico en Enfermería,Técnico en Enfermería,0.024279210925644917,0.7315789473684211,5.8638297872340415,0.4405594405594406,0.5583756345177665,De $700 mil a $800 mil
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Salud,Técnico en Enfermería,Técnico en Enfermería,0.05820458177943527,0.7906849315068493,6.476500697999069,0.5979046242774566,0.690379258624384,De $800 mil a $900 mil
633,Centros de Formación Técnica,CFT TEODORO WICKEL KLUWEN,No,Salud,Técnico en Enfermería,Técnico de Nivel Superior en Enfermería,0.02097902097902098,0.6551724137931034,4.380681818181818,0.44907407407407407,0.64,De $700 mil a $800 mil
312,Centros de Formación Técnica,CFT CENCO,3 años,Salud,Técnico en Farmacia,Técnico de Nivel Superior en Farmacia,0.03866666666666667,0.8666666666666667,s/i,0.8518518518518519,0.826530612244898,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Salud,Técnico en Farmacia,Técnico en Farmacia,0.07377049180327869,0.5217391304347826,5.8095238095238075,0.7428571428571429,0.7,De $1 millón a $1 millón 100 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Salud,Técnico en Farmacia,Técnico en Farmacia,0.04952076677316294,0.7905882352941176,5.935483870967742,0.6959619952494062,0.7569230769230769,s/i
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Salud,Técnico en Farmacia,Técnico en Farmacia,0.034482758620689655,0.7839506172839507,6.361702127659575,0.7278911564625851,0.7777777777777778,s/i
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Administración y Comercio,Técnico en Gastronomía y Cocina,Técnico en Gastronomía,0.023529411764705882,0.5828877005347594,6.290322580645159,0.5486725663716814,0.6129032258064516,s/i
730,Centros de Formación Técnica,CFT ESCUELA CULINARIA FRANCESA,4 años,Administración y Comercio,Técnico en Gastronomía y Cocina,Diplome Superieur Ecole Culinaire Francaise,0.047619047619047616,0.7333333333333333,6.564356435643562,0.3373493975903614,,De $900 mil a $1 millón
430,Centros de Formación Técnica,CFT INACAP,7 años,Administración y Comercio,Técnico en Gastronomía y Cocina,Técnico en Gastronomía Internacional y Gastronomía,0.14114238410596028,0.7662337662337663,6.569667738478028,0.40363743033147553,0.4698242933537051,De $700 mil a $800 mil
257,Centros de Formación Técnica,CFT JUAN BOHON,4 años,Administración y Comercio,Técnico en Gastronomía y Cocina,Técnico en Gastronomía y Cocina Internacional,0.062111801242236024,0.6904761904761905,6.352941176470587,0.5175438596491229,0.45348837209302323,s/i
629,Centros de Formación Técnica,CFT PUCV,5 años,Administración y Comercio,Técnico en Gastronomía y Cocina,Técnico de Nivel Superior en Gastronomía Internacional,0.0364963503649635,0.8098591549295775,5.304347826086958,0.3333333333333333,0.29310344827586204,s/i
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Administración y Comercio,Técnico en Gastronomía y Cocina,Técnico en Gastronomía Internacional y Tradicional Chilena,0.03865425912670007,0.7392156862745098,6.410112359550563,0.4065040650406504,0.5014492753623189,De $700 mil a $800 mil
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Ciencias Básicas,Técnico en Geología,Técnico de Nivel Superior en Geología,0.10909090909090909,s/i,s/i,0.525,,s/i
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Ciencias Básicas,Técnico en Geominería,Técnico en Geominería,0.2857142857142857,0.6923076923076923,s/i,0.6976744186046512,0.725,De $1 millón 100 mil a $1 millón 200 mil
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial",Técnico en Instrumentación y Control Industrial,0.27167630057803466,0.6521739130434783,6.522727272727272,0.8152173913043478,0.8734177215189873,De $1 millón 600 mil a $1 millón 700 mil
430,Centros de Formación Técnica,CFT INACAP,7 años,Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial","Técnico en Automatización y Control Industrial, Automatización y Robótica",0.2810978308986277,0.6802721088435374,7.490721649484536,0.7754508435136708,0.8297172912557528,De $1 millón 400 mil a $1 millón 500 mil
257,Centros de Formación Técnica,CFT JUAN BOHON,4 años,Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial","Técnico en Instrumentación, Automatización y Control Industrial",0.3835616438356164,s/i,s/i,0.8611111111111112,,s/i
450,Centros de Formación Técnica,CFT LOTA-ARAUCO,4 años,Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial",Técnico en Instrumentación y Automatización Industrial,0.25663716814159293,0.4864864864864865,s/i,0.6938775510204082,0.7543859649122807,s/i
